,scrapping_date,reviewer_name,review_date,rating,review_title,review_content,date_of_stays
0,2022-11-06 13:40:40.442786,nation99,Oct 2022,1.0,I competent and unhelpful staff,Reception refused a very important package from fedex for us though we had cleared it with them earlier. No apologies and a couldnt care less attitude to a diamond member with 40 years loyalty. Bill had to be altered every day as they forgot to credit the worthless 18$ per day gift....you cant even buy breakfast with that. And the previous occupants coffee still in dirty coffee maker when we arrived.,October 2022
1,2022-11-06 13:40:40.470995,Katherine Y,Jul 2021,5.0,"Large, clean rooms in a central location in Chicago","First of all, like most reviews here indicated, the hotel has a very good location. It's directly next to the State/Lake ""L"" station, where many subway and bus lines go through, as well as only a few minutes walk away from other stations like Washington if you are trying to on the Blue Line. It's walkable to many famous Chicago attractions. Millennium Park where the ""Bean"" is was very close by.   Check-in was smooth. I did mobile check-in and needed to grab some keys from the front desk, and they were able to help with with promptness and a kind attitude. As with most Hilton hotels, I recommend downloading the Hilton app and doing mobile check-in since you get to personally pick your room on the app.   The room was much larger than I expected. We had the standard king room as well, so it wasn't the upgraded rooms. There was a kitchenette with a fridge, a microwave, and a sink. No dishes or utensils were provided tho, but I was just pleased there was a microwave in the room.   We also checked out the roof top bar. The views were very grand and it was nice sipping drinks as the sun sets. I'm not one for loud music (I thought it was one of those bars with a softer, quieter ambience) but it was still a nice experience overall.…",June 2021
2,2022-11-06 13:40:40.492546,gottagoohio,Oct 2022,4.0,Good Time,"PROS The location of this hotel is GREAT.  We were able to walk to most parks, museums restaurants, and shops.  Great Location but when we arrived there was construction right in front of the hotel so be aware, it doesn't look appealing.  The staff was all very nice and accommodating.  I don't remember seeing a business center if there was one.    The concierge was excellent at giving directions and places to go.  We arrived early so we were able to leave our bags and explore the city.  Such a great place with lots of cultures.   The rooftop club/lounge was awesome.  Even though they have a small menu the food was good and the atmosphere was great.    CONS There weren't many cons.  We stay at a lot of Hilton hotels but this was the first that didn't offer breakfast.  So instead of being able to run downstairs for coffee and a quick bite in the mornings, we were forced out to a breakfast spot which would cost us about $50.   Also, with dining out for every meal, we had leftovers we would bring back to the room that could have been great options for lunch the next day.  Unfortunately, there were no microwaves in the room nor in the hallways which meant we threw a lot of food away.  There are refrigerators, but no way to reheat food.  Not good. …",October 2022
3,2022-11-06 13:40:40.528028,Alyson B,Oct 2022,5.0,Well appointed hotel in the heart of downtown.,"Super hotel in the heart of Chicago within walking distance or dining, sights and shopping.Staff was very helpful and room was spacious and well appointed. Food was delicious.We will stay here again.",October 2022
4,2022-11-06 13:40:40.563577,retrorabbit66,Oct 2022,3.0,"For the price, you can do better","We stayed at theWit for a show at Chicago Theatre last weekend.  The hotel location was perfect for this and we enjoyed the views from our corner room overlooking the venue (902).  However, for the price we paid, the hotel was very underwhelming.  It felt like a tired, mid-priced business hotel but with high end pricing.  Everything about it felt like they were trying too hard to cater to the Instagram/influencer crowd going to the Roof bar while letting everything else in the hotel go.  We had the same experience as another reviewer of this room.  Furniture was scratched and scuffed, the side table by the couch had enough dust that I could visibly write ""unacceptable"" with my finger, and the water spots on the sink faucet at check in made it look like the room had been used and not cleaned (or not cleaned well).  The shower took forever for the water to get warm and the water pressure was low.    While I can overlook everything but the lack of cleanliness, what we got for what we paid was unacceptable.  This is our 3rd Hilton stay this year and definitely the worst by far.  We had a multi-room suite at the Conrad Indianapolis and paid less money for a much better experience.  We are returning to Chicago in early November for another show at Chicago Theatre and I held off on booking a room to see if we'd like to repeat a stay at theWit.  I actually got online while at the hotel and booked a stay elsewhere.  For the same price as theWit, you can stay at MUCH better places in the area.  If you just want pictures for the 'Gram, go to the bar instead of getting a room.…",October 2022
5,2022-11-06 13:40:40.594320,Lana P,Oct 2022,3.0,Wit...What Happened?,"I am confused by my 4 days I stayed at TheWit. I was in Chicago for work. We were supposed to stay at The Virgin. Due to an error on my part, the hotel sold out before I got a room. No problem... prepandemic TheWit was my favorite hotel. What I did not realize,  post pandemic,  this hotel seems to have lost its shine. Pulling up, no one was there to take my bags. No big deal. In to the lobby, checked in and got my cookie, ordered housekeeping, and was given room 902. This is a corner room with a tub at 550.00 a night. Total was $2500 dollars. This is equivalent to an all inclusive resort in Cancun. I am expecting something at this price point.  I open the door to blah and seemingly dirty. The carpet is gummy and needs a good shampoo or replaced. The furniture has seen better days. Water damage on the coffee table, the sofa was droopy, and the bathroom mirror was desilvering on one side. The towels and the bedding were scratchy instead of soft. The shower had zero water pressure. There was food on the side of the refrigerator. Even though I ordered housekeeping , I never received it. The effort of room service was annoying. You shoud be able to order on an app.  The good...the bed was comfortable with the exception of the sheets, the view was incredible,  and it was quiet for a room on State street. The bath products were great.   The hotel went from trendy and fun, to a cash exchange for a place to sleep. There was no experience beyond the cookie and a cookie, no matter how delightful, is just a cookie. I am sad to say I will not be back. There are too many choices to risk another bad experience…",October 2022
6,2022-11-06 13:40:41.207137,Thomas W,Oct 2022,5.0,Fantastic Service,"We recently held a 3 day meeting of the Board of Directors of the National Association of Election Officials ( Election Center) . This meeting was successful in large part to the very professional and friendly staff we dealt with during our stay including front desk personnel, food service, IT and housekeeping staff. We were particularly grateful to Sarah Anzelmo and the entire sales and food an beverage staff for their patience and assistance in setting up this meeting. The service and quality of  food we were served was  fantastic. The Wit should be very proud of these people who do a great job in taking care of guests. We would highly recommend this hotel to any group looking for a great meeting venue.",September 2022
7,2022-11-06 13:40:41.300560,RGors,Oct 2022,5.0,Great Location and Clean Rooms,"We had a wonderful stay at theWit in Chicago, IL.  Our room was super clean and beds were very comfortable.  Nick was very helpful at check-in. We enjoyed the rooftop bar and the restaurant next door.  We will definitely be back and stay at theWit again.",October 2022
8,2022-11-06 13:40:41.315267,KevinAndLauraS,Oct 2022,1.0,Worst stay ever,I’ve stayed in this hotel more than a dozen times before. It has rapidly declined and I would not recommend staying here. They didn’t honor the original rate. The restaurant was ridiculously noisy. They gave away our two queen bed room to the group standing next us. Toilet clogged.,October 2022
9,2022-11-06 13:40:41.340462,Erica W,Oct 2022,2.0,Racial Profiling,"BEWARE!!!!  My family chose to stay at theWit for the weekend during a very hard and personal time for us. We chose to book the spa king rooms and expected relaxation and top tier service. However during our stay my husband was racially profiled by theWit's staff member. My sister and her wife (an interracial couple) walked in to the hotel before my husband and I and they were not asked to provide proof of stay. After valeting our car their staff member abruptly forced his arm out in front of my husband and I to ask for our room key.  My husband (6'4 Black male in a business suit)  showed his valet parking ticket. Then theWit staff member aggressively asked again for our room key. My husband pulled out his room card from his wallet and then theWit staff member looked at us and then stated ""It's policy procedure"". As we proceeded to go to the elevator two caucasian females dressed in club attire walked behind us to get onto the elevator without being carded.  The following morning I informed the front desk supervisor, Carrie,  and she immediately apologized and stated she will look into the incident.  She also provided food and beverage vouchers however we were leaving to the airport to go back home that morning. I am disgusted and extremely upset with the harassment from the staff member simply because of how we looked. We deserve the same treatment as everyone else! I will not be returning to this hotel.…",October 2022
