,scrapping_date,review_rating,reviewer_name,review_date,review_title,review_content
0,2022-11-06 17:21:58.248644,4/5 Good,Amy Kimie,"Nov 4, 2022",,"The location was a strong point and recognizable brand hotel.  I was able to walk to all of the areas  I wanted to see.  Amenities in the room were basic, had to ask for a shower cap and an extra blanket.  Staff was helpful when I asked for help, etc.  I was a solo woman visitor so this hit all my basic needs."
1,2022-11-06 17:21:58.324820,2/5 Poor,Virginija,"Nov 4, 2022",,Poor quality breakfast and restaurant service
2,2022-11-06 17:21:58.362656,5/5 Excellent,emad,"Nov 4, 2022",,Good
3,2022-11-06 17:21:58.388434,5/5 Excellent,Julie,"Nov 4, 2022",,I love my stay
4,2022-11-06 17:21:58.404181,4/5 Good,Tammie,"Nov 2, 2022",,"Very nice facility, however, I did not appreciate the strong “pot” smell in the lobby when we checked in"
5,2022-11-06 17:21:58.425766,5/5 Excellent,Allen,"Oct 31, 2022",,Staff at the desk was awesome
6,2022-11-06 17:21:58.442143,5/5 Excellent,Verified traveler,"Oct 31, 2022",,
7,2022-11-06 17:21:58.462293,5/5 Excellent,Greg,"Oct 31, 2022",Love our stay!,Friendly and helpful staffs. Check in was easy. Clean & comfortable hotel. Convenient locate near to most approximately. Love it!
8,2022-11-06 17:21:58.482821,4/5 Good,Ryan,"Oct 30, 2022",,"The beds aren’t as comfortable as the other Hilton Garden Inn locations in the city. Other than that the staff was nice, the hotel is near a busy Wacker Drive and Michigan Avenue, so there are plenty of places where you can eat, shop, people watch, etc. and is near public transportation."
9,2022-11-06 17:21:59.411897,5/5 Excellent,Rogelio,"Oct 30, 2022",,Great location with a nice view of the city
10,2022-11-06 17:21:59.428118,5/5 Excellent,Michelle,"Oct 26, 2022",,"I had a lovely stay at Hotel Garden Inn.  The room was clean and the staff was fantastic.  The location is super coinvent as the hotel is close to downtown, the river, shopping and transit.  The only downside is that it does get loud outside of the hotel but I would definitely book again just for the coinvent location and fantastic staff."
11,2022-11-06 17:21:59.438994,5/5 Excellent,Gretttel,"Oct 25, 2022",,"Clean and friendly staff 
Perfect location"
12,2022-11-06 17:21:59.452444,5/5 Excellent,susan,"Oct 25, 2022",,Beck/Depp concert was the best! Great stay at HGI
13,2022-11-06 17:21:59.485060,5/5 Excellent,Stephen,"Oct 25, 2022",,Was good
14,2022-11-06 17:21:59.496349,5/5 Excellent,Diane,"Oct 24, 2022",weekend in Chicago,Our stay was amazing. The hotel is so cozy and in a very great location. We were able to walk everywhere and sightsee.  I will be back
15,2022-11-06 17:21:59.597153,5/5 Excellent,Kristen,"Oct 23, 2022",,It is an okay hotel in a great location
16,2022-11-06 17:21:59.619640,5/5 Excellent,Patricia,"Oct 23, 2022",,
17,2022-11-06 17:21:59.633309,5/5 Excellent,Nicole,"Oct 23, 2022",,"This hotel was so convenient to all the major sites we came to visit. Most places we could easily walk to, and places that needed an Uber ride were max of 10 minutes away. It was right on the riverwalk, and Michigan Ave was a block away. The room was comfortable too. Shower pressure was great. We were in a room right next to the elevator and we barely heard it (or any other guests for that matter). I'd definitely recommend and stay here again."
18,2022-11-06 17:21:59.650452,5/5 Excellent,"Andrew, Blaine","Oct 22, 2022",,"Great location, friendly staff. Checkout was not until noon, which is a plus. Right in the center of downtown. No valet or self parking. Their is a parking lock across Wacker St that charges $60/night. They were great and I would recommend."
19,2022-11-06 17:21:59.688822,5/5 Excellent,Richmond Expedia,"Oct 21, 2022",,Property is ok but my room 303 was overlooking a brick wall
20,2022-11-06 17:21:59.701708,5/5 Excellent,Michelle,"Oct 26, 2022",,"I had a lovely stay at Hotel Garden Inn.  The room was clean and the staff was fantastic.  The location is super coinvent as the hotel is close to downtown, the river, shopping and transit.  The only downside is that it does get loud outside of the hotel but I would definitely book again just for the coinvent location and fantastic staff."
21,2022-11-06 17:21:59.714208,5/5 Excellent,Gretttel,"Oct 25, 2022",,"Clean and friendly staff 
Perfect location"
22,2022-11-06 17:21:59.729019,5/5 Excellent,susan,"Oct 25, 2022",,Beck/Depp concert was the best! Great stay at HGI
23,2022-11-06 17:21:59.741176,5/5 Excellent,Stephen,"Oct 25, 2022",,Was good
24,2022-11-06 17:21:59.754728,5/5 Excellent,Diane,"Oct 24, 2022",weekend in Chicago,Our stay was amazing. The hotel is so cozy and in a very great location. We were able to walk everywhere and sightsee.  I will be back
25,2022-11-06 17:21:59.767828,5/5 Excellent,Kristen,"Oct 23, 2022",,It is an okay hotel in a great location
26,2022-11-06 17:21:59.799224,5/5 Excellent,Patricia,"Oct 23, 2022",,
27,2022-11-06 17:21:59.811874,5/5 Excellent,Nicole,"Oct 23, 2022",,"This hotel was so convenient to all the major sites we came to visit. Most places we could easily walk to, and places that needed an Uber ride were max of 10 minutes away. It was right on the riverwalk, and Michigan Ave was a block away. The room was comfortable too. Shower pressure was great. We were in a room right next to the elevator and we barely heard it (or any other guests for that matter). I'd definitely recommend and stay here again."
28,2022-11-06 17:21:59.824075,5/5 Excellent,"Andrew, Blaine","Oct 22, 2022",,"Great location, friendly staff. Checkout was not until noon, which is a plus. Right in the center of downtown. No valet or self parking. Their is a parking lock across Wacker St that charges $60/night. They were great and I would recommend."
29,2022-11-06 17:21:59.834697,5/5 Excellent,Richmond Expedia,"Oct 21, 2022",,Property is ok but my room 303 was overlooking a brick wall
30,2022-11-06 17:21:59.852647,5/5 Excellent,Michelle,"Oct 26, 2022",,"I had a lovely stay at Hotel Garden Inn.  The room was clean and the staff was fantastic.  The location is super coinvent as the hotel is close to downtown, the river, shopping and transit.  The only downside is that it does get loud outside of the hotel but I would definitely book again just for the coinvent location and fantastic staff."
31,2022-11-06 17:21:59.864206,5/5 Excellent,Gretttel,"Oct 25, 2022",,"Clean and friendly staff 
Perfect location"
32,2022-11-06 17:21:59.875669,5/5 Excellent,susan,"Oct 25, 2022",,Beck/Depp concert was the best! Great stay at HGI
33,2022-11-06 17:21:59.890543,5/5 Excellent,Stephen,"Oct 25, 2022",,Was good
34,2022-11-06 17:21:59.905499,5/5 Excellent,Diane,"Oct 24, 2022",weekend in Chicago,Our stay was amazing. The hotel is so cozy and in a very great location. We were able to walk everywhere and sightsee.  I will be back
