,scrapping_date,reviewer_name,review_date,rating,review_title,review_content,date_of_stays
0,2022-11-06 13:45:37.095524,trinidadpa,Yesterday,5.0,Great Location for everything,"The hotel is what you'd expect of a Hilton property.  Excellent quality, clean and friendly staff.  Located within 10 minutes of anything you want.  Eateries are plentiful regardless of the flavor you're looking for.  This will definitely be a spot I'll be staying at in the future.",November 2022
1,2022-11-06 13:45:37.120243,R. Spencer,Aug 2021,5.0,Staff was great!,"I stayed at this hotel on 8/30/21 for one night. I arrived at 8:00pm and checked out at 6:30am. I did not spend much time here but the staff was really impressive from check-in, at weber grill, and check-out. The staff went out of their way to assist me. I had lots of questions since this was my first visit to this location and I really did appreciate them all for taking the time to explain and show me different things around the hotel. But, I would like to call out Richard Garling. Not only did he give me advise on how to catch a cab, this gentleman walked around from the front desk, went outside with me, and stepped into the street to flag a cab down that was a block away! Once the cab arrived, he placed my luggage in the back of the cab and told the cab driver where I was going. Now only if he would have paid the fair as well. LOL. Just kidding. Thank you Mr. Garling for going over and beyond the call of duty! It is very much appreciated.   The room was clean. The hot water did not take long to get hot, and it was super hot! Be careful with the hot water. The refrigerator in the room worked very well. My drinks were cold and my leftovers from Weber Grill had a little frost on the take out container.   Weber Grill - is located next to hotel. There is a door in the lobby that connects the two. So no need to go outside. The female and male hosts on 8/30/21 were great. I enjoyed talking with them while I waited from my takeout. Even though it was close to closing, I wasn't rushed and they the female host provided great conversation. She was very well versed over the menu and she had just started 4 days earlier. But her picks were delicious. Thank you!   There is also a pantry in the lobby were you can buy drinks and snacks. Much thanks for the front desk clerk that checked me in and showed me how to use the self check-out machine.…",August 2021
2,2022-11-06 13:45:37.145086,amber,Yesterday,5.0,Smooth check in,Hector was super kind during check-in and helped make my arrival easy. Early check in much appreciated! Hotel accommodations are as described.  Simple hand pulls on the drapes that close fully is a nice touch.  Kindness and empathy for traveled goes a long way in the hotel business - nice job!,November 2022
3,2022-11-06 13:45:37.170166,Lani N,Nov 4,5.0,Would definitely stay here again,"Absolutely amazing service by Abdul and Alexis.  I arrived too early to check-in but they took care of me and made the day so much easier.  Very nice and courteous.  Room was great, surrounding area perfect for my needs.  They answered all my questions and were so welcoming.",November 2022
4,2022-11-06 13:45:37.183562,Justin B,Nov 4,5.0,Chicago visit,"Excellent service. Excellent stay. We enjoyed the room, the staff, the ease of access to public transit and the walkability to amenities.   Hotel was clean, staff was friendly. Would recommend staying here.",November 2022
5,2022-11-06 13:45:37.197961,Mandy G,Oct 2022,5.0,Great Hotel in a Convenient Location,"We would definitely stay here again. The hotel was clean, the staff was friendly, and it was located in the middle of everything we were doing during our stay. We arrived about an hour before check-in, but our room was ready, so we were able to check-in early. The indoor pool was warm, and my daughter enjoyed swimming in it.  The only thing I wish I would have known ahead of time was the cost of parking. To park in the attached parking garage, it is $60/night, and it isn't come and go as you please. We parked and then walked or took an Uber wherever we needed to go for the duration of our stay.",October 2022
6,2022-11-06 13:45:37.211929,twardmic,Oct 2022,5.0,Fall trip to Chicago,I liked the location. It was in the middle of all the attractions we wanted to see. I like the fact that the room had a microwave and refrigerator. It was also very spaceships with a nice view. The staff was warm and welcoming.,October 2022
7,2022-11-06 13:45:37.224891,Debbie V,Oct 2022,5.0,Great Hotel.,Jose did a good job with customer service.  Very welcoming staff.  Hotel is in a great  location close to restaurants and Michigan Ave.  shopping.  Easy to get most everywhere in the city.  Room was clean and shower had good pressure.  Highly recommend this hotel when in Chicago.,October 2022
8,2022-11-06 13:45:37.238636,Liz R,Oct 2022,5.0,"Amazing Service, Excellent staff",My husband and I arrived at the hotel very early after a long morning of traveling. We were able to get an early check in which was so needed. The staff at the front desk were very nice and accommodating.  The room was clean and a great location. I will definitely stay here again!,October 2022
9,2022-11-06 13:45:37.252518,Latisha E,Oct 2022,5.0,Beautiful view,Thank you Hector for your service at the Front desk we appreciate you getting us checked in so fast thank you for helping us!!! Your the best!! The view is beautiful the staff is very helpful and we definitely will stay again,October 2022
