,scrapping_date,review_rating,reviewer_name,review_date,review_title,review_content
0,2022-11-06 17:04:13.336260,5/5 Excellent,Calvin,"Oct 25, 2022",,Staff and service was top notch.
1,2022-11-06 17:04:13.380750,5/5 Excellent,ROBERT,"Oct 17, 2022",,The class and charm
2,2022-11-06 17:04:13.396230,5/5 Excellent,Shawn,"Oct 12, 2022",Chicago Marathon Stay,"This is my 4th stay at the hotel. I was in town to support a friend who was running the Chicago Marathon. I always love staying here. I like the location, the amenities and the way the staff treats hotel guests. The next time I come to Chicago I will stay here again."
3,2022-11-06 17:04:13.407062,5/5 Excellent,Jean,"Oct 5, 2022",,
4,2022-11-06 17:04:13.417209,5/5 Excellent,Maria,"Sep 20, 2022",,I liked elegant decor and comfort. I didn’t like continuous sounds (as if from a janitor closet) that kept me waking up a lot.
5,2022-11-06 17:04:13.427385,3/5 Okay,"Medea, Ankeny","Aug 30, 2022",,Beds were really hard. Not worth the money.
6,2022-11-06 17:04:13.448574,5/5 Excellent,Jessica,"Aug 22, 2022",,Amazing
7,2022-11-06 17:04:13.459117,5/5 Excellent,John,"Aug 4, 2022",,
8,2022-11-06 17:04:13.468693,5/5 Excellent,Edward,"Jul 29, 2022",,
9,2022-11-06 17:04:13.480818,5/5 Excellent,Alicia,"Jul 15, 2022",Excellent Stay comfort wise,It was absolutely gorgeous. My only complaint is we tried to order room service dessert late and they had no options
10,2022-11-06 17:04:13.492409,5/5 Excellent,"Ameil, New Rochelle","Jul 15, 2022",,"What can I say? It’s the Waldorf.  I love it here; it’s out go to hotel In Chicago- the amenities (spa) the staff the attention to detail-
Really top quality. The restaurant serves a lovely brunch that is delicious.  Went for 1 night - stayed for 2. Check it out!  Its great for a girls weekend- and alone trip or spending time with someone special"
11,2022-11-06 17:04:13.503222,5/5 Excellent,Vince,"Jun 15, 2022",,Great stay
12,2022-11-06 17:04:13.513746,3/5 Okay,"Marianna, Glendale","Jun 2, 2022",,"The location of the hotel is very nice, walkable to pretty much everywhere you want to be, a nice stroll of 15 minutes gets you to River Walk, 5 minutes walk and you find yourself on the Magnificent Mile or the Hancock tower. That being said, the hotel itself could deliver a better experience for a luxury hotel it claims to be. It lacks normal lobby, has a restaurant that closes at a quite early hour and yet the room service was not available the day we arrived because ""a lot of people called off""... Also there was a distinct unpleasant smell in the room that we brought up with the hotel, and no one followed up on the issue. The front desk lady never informed us at the check in, that the hotel provides complimentary transportation service to its guests for trips within 1 mile radius of the hotel, which pretty much was everywhere we went throughout our stay and often times got a cab or an uber to do so. 
The restaurant of the hotel ""The Brasserie"" is very nice, they serve delicious breakfast and have live music on the weekends which was a very nice touch. Overall the hotel is clean and quite well maintained, however it does not have the sense of luxury that Waldorf is supposed to give. I would probably not select it next time I'm in Chicago."
13,2022-11-06 17:04:13.524812,4/5 Good,Tim,"May 16, 2022",,Everything little thing cost a lot. The health club/spa was great although spa services are price prohibitive for regular folks.
14,2022-11-06 17:04:13.537401,5/5 Excellent,Donna,"May 9, 2022",,Great hotel with spacious rooms in a very desirable location.
15,2022-11-06 17:04:13.548743,4/5 Good,Danielle,"May 3, 2022",,"Property was under construction during our visit. Other than that, amazing location, clean beautiful rooms and staff was incredible!"
16,2022-11-06 17:04:13.560225,5/5 Excellent,"Debra, West Orange","May 2, 2022",,"Lobby undergoing renovation, but otherwise fabulous hotel"
17,2022-11-06 17:04:13.571306,5/5 Excellent,Kevin,"Apr 29, 2022",,"I love the service, amenities and the location of this hotel. Everything was fabulous!"
18,2022-11-06 17:04:13.582743,5/5 Excellent,Lorin,"Apr 26, 2022",,Our room was very simply put our own personal oasis.  Room service was well utilized and the fare was top drawer.  Staff was impeccable.  This getaway was most pleasurable.
19,2022-11-06 17:04:13.595909,5/5 Excellent,John,"Apr 25, 2022",,
20,2022-11-06 17:04:13.612075,5/5 Excellent,Wade,"Apr 24, 2022",Great,
21,2022-11-06 17:04:13.622472,5/5 Excellent,"Albert, Philadelphia","Apr 19, 2022",,Everything you would expect and more from a hotel of this caliber.
22,2022-11-06 17:04:13.632825,4/5 Good,Leslie,"Apr 17, 2022",,The room and bathroom was large. Many amenities and great location.
23,2022-11-06 17:04:13.644991,5/5 Excellent,Darin,"Apr 6, 2022",,Best hotel I’ve stayed in
24,2022-11-06 17:04:13.656488,5/5 Excellent,Jorge,"Mar 27, 2022",,Very polite and friendly staff.
25,2022-11-06 17:04:13.688543,5/5 Excellent,Marianne,"Mar 22, 2022",,Wonderful stay!! The hotel and staff friendliness was amazing. We will be back!
26,2022-11-06 17:04:13.703870,5/5 Excellent,Elizabeth,"Mar 19, 2022",,
27,2022-11-06 17:04:13.714962,5/5 Excellent,Amber,"Mar 18, 2022",,Beautiful love this place but alleyway view no good look out
28,2022-11-06 17:04:13.735619,5/5 Excellent,Elaine,"Feb 28, 2022",,
29,2022-11-06 17:04:13.750236,5/5 Excellent,Glenn,"Feb 27, 2022",,Every time we stay at the Waldorf Astoria it is even better than the last time. Hotel is amazing in the staff is courteous and helpful. One of the finest hotels have ever stayed at
30,2022-11-06 17:04:13.761506,5/5 Excellent,Wade,"Apr 24, 2022",Great,
31,2022-11-06 17:04:13.776960,5/5 Excellent,"Albert, Philadelphia","Apr 19, 2022",,Everything you would expect and more from a hotel of this caliber.
32,2022-11-06 17:04:13.792203,4/5 Good,Leslie,"Apr 17, 2022",,The room and bathroom was large. Many amenities and great location.
33,2022-11-06 17:04:13.805173,5/5 Excellent,Darin,"Apr 6, 2022",,Best hotel I’ve stayed in
34,2022-11-06 17:04:13.816494,5/5 Excellent,Jorge,"Mar 27, 2022",,Very polite and friendly staff.
35,2022-11-06 17:04:13.833528,5/5 Excellent,Marianne,"Mar 22, 2022",,Wonderful stay!! The hotel and staff friendliness was amazing. We will be back!
36,2022-11-06 17:04:13.844297,5/5 Excellent,Elizabeth,"Mar 19, 2022",,
37,2022-11-06 17:04:13.855064,5/5 Excellent,Amber,"Mar 18, 2022",,Beautiful love this place but alleyway view no good look out
38,2022-11-06 17:04:13.865505,5/5 Excellent,Elaine,"Feb 28, 2022",,
39,2022-11-06 17:04:13.876157,5/5 Excellent,Glenn,"Feb 27, 2022",,Every time we stay at the Waldorf Astoria it is even better than the last time. Hotel is amazing in the staff is courteous and helpful. One of the finest hotels have ever stayed at
40,2022-11-06 17:04:13.887012,5/5 Excellent,Wade,"Apr 24, 2022",Great,
41,2022-11-06 17:04:13.897938,5/5 Excellent,"Albert, Philadelphia","Apr 19, 2022",,Everything you would expect and more from a hotel of this caliber.
42,2022-11-06 17:04:13.908969,4/5 Good,Leslie,"Apr 17, 2022",,The room and bathroom was large. Many amenities and great location.
43,2022-11-06 17:04:13.919642,5/5 Excellent,Darin,"Apr 6, 2022",,Best hotel I’ve stayed in
44,2022-11-06 17:04:13.930771,5/5 Excellent,Jorge,"Mar 27, 2022",,Very polite and friendly staff.
45,2022-11-06 17:04:13.941516,5/5 Excellent,Marianne,"Mar 22, 2022",,Wonderful stay!! The hotel and staff friendliness was amazing. We will be back!
46,2022-11-06 17:04:13.952274,5/5 Excellent,Elizabeth,"Mar 19, 2022",,
47,2022-11-06 17:04:13.962637,5/5 Excellent,Amber,"Mar 18, 2022",,Beautiful love this place but alleyway view no good look out
48,2022-11-06 17:04:13.973406,5/5 Excellent,Elaine,"Feb 28, 2022",,
49,2022-11-06 17:04:13.985535,5/5 Excellent,Glenn,"Feb 27, 2022",,Every time we stay at the Waldorf Astoria it is even better than the last time. Hotel is amazing in the staff is courteous and helpful. One of the finest hotels have ever stayed at
50,2022-11-06 17:04:13.998411,5/5 Excellent,Wade,"Apr 24, 2022",Great,
51,2022-11-06 17:04:14.011530,5/5 Excellent,"Albert, Philadelphia","Apr 19, 2022",,Everything you would expect and more from a hotel of this caliber.
52,2022-11-06 17:04:14.024670,4/5 Good,Leslie,"Apr 17, 2022",,The room and bathroom was large. Many amenities and great location.
53,2022-11-06 17:04:14.035405,5/5 Excellent,Darin,"Apr 6, 2022",,Best hotel I’ve stayed in
54,2022-11-06 17:04:14.046363,5/5 Excellent,Jorge,"Mar 27, 2022",,Very polite and friendly staff.
55,2022-11-06 17:04:22.583921,5/5 Excellent,Marianne,"Mar 22, 2022",,Wonderful stay!! The hotel and staff friendliness was amazing. We will be back!
56,2022-11-06 17:04:22.668548,5/5 Excellent,Elizabeth,"Mar 19, 2022",,
57,2022-11-06 17:04:22.715709,5/5 Excellent,Amber,"Mar 18, 2022",,Beautiful love this place but alleyway view no good look out
58,2022-11-06 17:04:22.731222,5/5 Excellent,Elaine,"Feb 28, 2022",,
59,2022-11-06 17:04:22.743684,5/5 Excellent,Glenn,"Feb 27, 2022",,Every time we stay at the Waldorf Astoria it is even better than the last time. Hotel is amazing in the staff is courteous and helpful. One of the finest hotels have ever stayed at
60,2022-11-06 17:04:22.755960,5/5 Excellent,Wade,"Apr 24, 2022",Great,
61,2022-11-06 17:04:22.773829,5/5 Excellent,"Albert, Philadelphia","Apr 19, 2022",,Everything you would expect and more from a hotel of this caliber.
62,2022-11-06 17:04:22.785044,4/5 Good,Leslie,"Apr 17, 2022",,The room and bathroom was large. Many amenities and great location.
63,2022-11-06 17:04:22.797148,5/5 Excellent,Darin,"Apr 6, 2022",,Best hotel I’ve stayed in
64,2022-11-06 17:04:26.428736,5/5 Excellent,Jorge,"Mar 27, 2022",,Very polite and friendly staff.
65,2022-11-06 17:04:26.446865,5/5 Excellent,Marianne,"Mar 22, 2022",,Wonderful stay!! The hotel and staff friendliness was amazing. We will be back!
66,2022-11-06 17:04:26.471115,5/5 Excellent,Elizabeth,"Mar 19, 2022",,
67,2022-11-06 17:04:26.484674,5/5 Excellent,Amber,"Mar 18, 2022",,Beautiful love this place but alleyway view no good look out
68,2022-11-06 17:04:26.501302,5/5 Excellent,Elaine,"Feb 28, 2022",,
69,2022-11-06 17:04:26.514539,5/5 Excellent,Glenn,"Feb 27, 2022",,Every time we stay at the Waldorf Astoria it is even better than the last time. Hotel is amazing in the staff is courteous and helpful. One of the finest hotels have ever stayed at
70,2022-11-06 17:04:26.540509,5/5 Excellent,Wade,"Apr 24, 2022",Great,
71,2022-11-06 17:04:26.554349,5/5 Excellent,"Albert, Philadelphia","Apr 19, 2022",,Everything you would expect and more from a hotel of this caliber.
72,2022-11-06 17:04:26.574824,4/5 Good,Leslie,"Apr 17, 2022",,The room and bathroom was large. Many amenities and great location.
73,2022-11-06 17:04:26.600585,5/5 Excellent,Darin,"Apr 6, 2022",,Best hotel I’ve stayed in
74,2022-11-06 17:04:26.611487,5/5 Excellent,Jorge,"Mar 27, 2022",,Very polite and friendly staff.
75,2022-11-06 17:04:26.622478,5/5 Excellent,Marianne,"Mar 22, 2022",,Wonderful stay!! The hotel and staff friendliness was amazing. We will be back!
76,2022-11-06 17:04:26.633659,5/5 Excellent,Elizabeth,"Mar 19, 2022",,
77,2022-11-06 17:04:26.644549,5/5 Excellent,Amber,"Mar 18, 2022",,Beautiful love this place but alleyway view no good look out
78,2022-11-06 17:04:26.659425,5/5 Excellent,Elaine,"Feb 28, 2022",,
79,2022-11-06 17:04:26.673696,5/5 Excellent,Glenn,"Feb 27, 2022",,Every time we stay at the Waldorf Astoria it is even better than the last time. Hotel is amazing in the staff is courteous and helpful. One of the finest hotels have ever stayed at
80,2022-11-06 17:04:26.686238,5/5 Excellent,Wade,"Apr 24, 2022",Great,
81,2022-11-06 17:04:26.699886,5/5 Excellent,"Albert, Philadelphia","Apr 19, 2022",,Everything you would expect and more from a hotel of this caliber.
82,2022-11-06 17:04:26.713483,4/5 Good,Leslie,"Apr 17, 2022",,The room and bathroom was large. Many amenities and great location.
83,2022-11-06 17:04:26.744013,5/5 Excellent,Darin,"Apr 6, 2022",,Best hotel I’ve stayed in
84,2022-11-06 17:04:26.759435,5/5 Excellent,Jorge,"Mar 27, 2022",,Very polite and friendly staff.
85,2022-11-06 17:04:26.772028,5/5 Excellent,Marianne,"Mar 22, 2022",,Wonderful stay!! The hotel and staff friendliness was amazing. We will be back!
86,2022-11-06 17:04:26.783689,5/5 Excellent,Elizabeth,"Mar 19, 2022",,
87,2022-11-06 17:04:26.794360,5/5 Excellent,Amber,"Mar 18, 2022",,Beautiful love this place but alleyway view no good look out
88,2022-11-06 17:04:26.806524,5/5 Excellent,Elaine,"Feb 28, 2022",,
89,2022-11-06 17:04:26.819320,5/5 Excellent,Glenn,"Feb 27, 2022",,Every time we stay at the Waldorf Astoria it is even better than the last time. Hotel is amazing in the staff is courteous and helpful. One of the finest hotels have ever stayed at
90,2022-11-06 17:04:26.831082,5/5 Excellent,Wade,"Apr 24, 2022",Great,
91,2022-11-06 17:04:26.843914,5/5 Excellent,"Albert, Philadelphia","Apr 19, 2022",,Everything you would expect and more from a hotel of this caliber.
