,scrapping_date,reviewer_name,review_date,rating,review_title,review_content,date_of_stays
0,2022-11-06 13:35:31.642254,Stephany C,Yesterday,2.0,Overrated,our room was not ready when we got there they we will give you other one it was stinky when we got there we found old containers of food on garbage dirty used robe no extra blankets for the junior suite dirty carpet over priced for a dirty room,November 2022
1,2022-11-06 13:35:31.711938,I love Pancake,Jul 2022,5.0,Beautiful property,"Beautiful hotel and lovely amenities. The lobby is small and discreet, and the rooms are nice and comfortable. The bed is heavenly and the soaking tub a great way to unwind after a long day being a tourist in Chicago. They don’t have coffee makers in the room, instead they have complimentary coffee and tea service through in room dinning. Housekeeping team is top notch! The room was thoroughly clean and the daily service done to perfection. My only complain is that I had to leave :)",July 2022
2,2022-11-06 13:35:31.734919,DrS,Oct 2022,5.0,"Fabulous Hotel worth every penny! My new Chicago ""home"" hotel","Business trip and FABULOUS hotel--great staff and wonderful accommodations! Pure luxury and lived up to the  ""Waldorf"" hype! I have frequented the NY location and this is a different more intimate vibe!  Kudos to the staff, friendliness, accomodations and food!",October 2022
3,2022-11-06 13:35:31.770890,LEVI S,Oct 2022,2.0,Very disappointed,"This Waldorf Astoria really disappointed me.  Having just visited the Waldorf location in Monarch Beach this summer, which was fabulous, I was really disappointed with my Chicago visit. The hotel was very expensive, on par with Four Seasons and the Langham. Waldorf doesn’t compare to either though…   The rooms are simple and underwhelming. Service is ok.  There is no area to “chill” other than the small, cramped lobby and bar.   The dining sucked.  Our first night for dinner, we had a variety of food on the menu and honestly, nothing was very good. Chicken was ok, onion soup was average at best…   They wouldn’t allow us into the dining room for breakfast today, because there was a convention there, even though I am a paying guest. I had to leave the hotel this morning, in the rain, to eat breakfast. Not five star service…  The spa is nice, and very attentive staff, that’s why I’m giving two stars. I’ve stayed at three other Waldorf a, they were all much better than this one.   For $700 a night, go to Four Seasons. It’s beautiful, fantastic food, and impeccable service…   …",October 2022
4,2022-11-06 13:35:31.798103,kev1438,Oct 2022,5.0,Still Outstandng,"I haven’t been here for many years, having stayed instead at the now defunct Conrad around the corner. Nothing against this property, Conrad was good and a slightly better price.  And I mean nothing against it. It really remains an outstanding hotel. The rooms remain exceptional. Clean, furniture well maintained, a good mini-bar, great bed and bathroom (water pressure wonderful) and the veranda a wonderful touch. I kept my door open several hours over the two days I spent there, and it was great to hear the sounds of the city and look out over it. Watched a great thunderstorm to the north while sitting outside.  I had room service which was quick and the food good. I haven’t had much luck with either attribute at hotels lately. The Brasserie isn’t the same as it’s brother which closed I guess two years ago, but it’s still a really good dinner.   Finally, you’re several blocks north of where the ubiquitous ambulances turn that scream down the Magnificent Mile. So it’s quiet. And that’s hard to find in a Chicago that sounds like one big ER on most nights.More…",October 2022
5,2022-11-06 13:35:31.817355,Mark Y,Oct 2022,3.0,Underwhelming Experience,"I got the opportunity to spend the night at the Waldorf Chicago (WA) in early September.  I had some expectations, but overall I tend to be a pretty low maintenance guest.  Just do your job, go through my benefits for my particular status, and just be pleasant.  I can say that this property completely underwhelmed me.  There was a wait during check-in, but that wasn't too big of a deal since the property was likely understaffed (I get this).  It was an average check-in experience, however the front desk professional didn't even bother to give me an idea of what my benefits were as a Hilton Diamond member.  Unfortunately, she just didn't seem too interested in being there.    The Good:  Room was a good size and the AC worked amazingly well.  I slept pretty well, so no complaints there.  I ordered room service the next morning, and it was delivered promptly.  The food was as expected - good.  The room service attendant was really pleasant, and it was an easy process.    The Bad:  Other than housekeeping and room service, I found the rest of the staff very marginal at best.  Again, all I really expect is to have a friendly encounter and not have them look at the ground with passing.  I also noticed that I was not offered assistance with bags upon check-in.  I probably would've declined since I only had two small bags, but I find it paramount for a hotel that has the reputation as the WA to offer guests assistance automatically.   I did the checkout through the Hilton app since I didn't want to deal with the hoopla at the desk.  Upon looking at my folio, I noticed that the property failed to deduct the Diamond benefit of the breakfast credit.  It did get cleared up by a really nice gentleman (wish I remembered his name), so I really appreciated that.    I stayed not too long ago at the Peninsula in Chicago, and the WA isn't even close to being in the same league as the Peninsula.  I've had much better experiences at the Garden Inn properties than here.  After traveling along the Pacific Rim for the past two weeks, it became even more apparent how mediocre the staff and the experience is at the WA in comparison to luxury properties in Asia and Australia.  The property has a lot of potential, and hopefully they'll be able to improve on their service because I would surly be open to staying there in the future.  …",September 2022
6,2022-11-06 13:35:31.835280,RandyR,Oct 2022,5.0,Fantastic Stay -  Beautiful Hotel,"I was in Chicago for business and was happy to have my wife accompany me. What an incredible hotel! Location, staff, cleanliness, luxury - the Waldorf had it all. Absolutely fantastic. Talk about being treated Ike royalty! I can't recommend this hotel enough. We will stay here every time we come to Chicago for any reason!! 5++ Stars",October 2022
7,2022-11-06 13:35:31.851570,WTraveler10,Oct 2022,5.0,Best hotel I have ever stayed at,"We had a fantastic time at the Waldorf Astoria and will definitely come back. As Hilton diamond members, we received an upgrade and a complimentary bottle of Prosecco for our wedding anniversary. I also recommend trying the treasure cocktail at Bernard's!",October 2022
8,2022-11-06 13:35:31.877594,Simon C,Oct 2022,5.0,Wonderful  - but pricey,"A wonderful, spacious, modern, smart upscale room, with a high quality bathroom, robes and furniture.  We enjoyed a great few days in Chicago and this hotel was a delight. Very welcoming and friendly and so brilliantly located.  A treat (although that it what you would expect for the price).",October 2022
9,2022-11-06 13:35:31.896105,greg f,Oct 2022,5.0,City trip in September,"This was the best experience I have ever had at a hotel, from the moment I stepped foot onto the property until the moment I left was treated amazingly. The hotel is incredible, the service was top notch. I would stay here again for sure.",September 2022
